asin,summaryReview
B00005TQI7,"['So cute', 'very cute', 'Received as a gift', 'Really Cute Gift for Little Girls', 'AGAIN LOOKS LIKE FUN', 'FUN FOR A 2 YEAR OLD', 'Success!', '1 yr old loves it!!!', 'My niece loves it!', 'Cute', 'Just what my daughter wanted.', ""It's nice for the price"", 'Awesome', 'My First Purse', 'nice but...', 'So cute!', 'Cute', 'Needed a quick gift for a year old.', 'Gets a lot of play...', 'Cute Purse', 'Nice-Makes little angels feel like big Girls!', 'Very Cute.....', 'great gift', 'Great purse, cheap phone', 'Good early development toy', 'My first purse', 'Cute!', 'Great first purse', 'MY GREAT GRANDAUGHTER THOUGHT IT WAS CHRISTMAS.', 'My 1-year old loves this!', 'The cellphone does it', 'cute little purse', 'A Great Purse for Any Little Girl', 'My girls really enjoy it', '3 year old loved it', 'nice first purse', 'gift for christmas', 'My toddler Loves this set!', ""Where's the Beef?"", ""Not like Mom's!"", 'Cute set', '15 month old daughter loves it.', 'great for toddlers!', 'cute', 'Great first purse', 'Cute!!!', 'Grandaughter loves it', 'sooo cute!', 'Super cute!!!!', 'Cute!']"
B00006XXGO,"['I ordered the wrong size...', ""It's a Chuck!"", 'cool', 'Order these one size smaller than your size', 'Great as usual', 'For my granddaughter', 'Wore In The Rain', 'Converse shoes', 'Just what I wanted', 'Like them', 'cute and a little wide for wide baby feet', 'My kids love these shoes.', 'I love converse', ""If it fits, you'll probably love it."", 'Convenient and buying another pair', 'love the color', 'not bad', 'nice casual shoe', 'Super heavy!', 'Four Stars', 'Same old classic shoe with a jacked up price', 'pink converse- nuff said', ""Wait until they're older"", 'Another great shoe', 'Speedy delivery', 'My daughter loves these!', 'Amazing converse stile', 'run small..size up', 'Exactly what I wanted.', '""I like them and my brothers (age 1) like them and Daddy likes them."" -Alyx, age 2 1/2', 'Perfect!', 'Pretty in Pink', ""She love's them..."", 'Great Pair of Shoes', 'They squeak a bit', 'Very good', 'Too cute', 'Dude, I am so cool now', 'A great way to stand out.', 'comfy sneakers', 'Yay!', 'Cheapest price online and retail', 'Super cute!', 'All Star Converse Hi Top', 'Used in Best Christmas Pageant Ever!', 'Orion Paden', 'Comfortable shoes', 'LOVE THESE SHOES', 'Exact same quality always delivered by Converse.', 'REALY NICE', 'He liked them.', ""can't go wrong with chucks"", 'Excellent Shoes!', 'Classics', 'Long lasting', 'Great tennie runners!', 'great shoes', 'A must buy', 'Perfect with jeans. Casual, but looks neat', 'These run a half size too big', 'Love them', 'Too cute:)', 'Converse chuck taylors', 'Excellent', 'thanks', 'Well made tiny toddler shoes', 'Perfect Purchase', 'read if your a girl', 'sneaks', 'all black converse', 'Toddler son loves his Converse', 'Shoes for Bridesmaids', 'my husband lives in these', 'Hi Top Leather Converse', 'Radical Shoe', 'So cute, so IMPOSSIBLE to get on!', 'wish full', 'Nice!', 'Excellent Shoe.', 'Classic style', 'Chucks', 'converse mens/wom shoe blk monochrome', 'so sexy', 'Good fit', 'Good shoe', 'Classic Shoes', 'Doctor Who Approved', 'black', 'Cute but very tight', 'Love those pink hi-tops']"
B000072UMJ,"['VIETNAM GARBAGE', 'Make feel nostalgic!', 'We love Converse', 'Awesome Green Converse', 'Converse shoes', 'Great shoes', 'I bought these for a specific purpose - weight lifting.', ""He loves his Chuck's!"", ""It's a Chuck Taylor"", 'Perfect!', 'Chucks', 'look good', 'the best!', 'Exactly What I wanted', 'Best shoes for baby boys even still. Thjey just look so good on them.', 'Happy', 'A Hit With My Granddaughter', 'Not my first, but still great shoes!', ""These Chuck's are great!"", 'classic', 'EXCELLENT !!!', 'CHUCKS', 'producto original', 'Too Cool!', 'Gift', 'Love them', 'Jules in Malibu - Monday June 18, 2012', 'Love My Converse!!!', 'Good Choice', 'Great lo Top Converse Shoes!', 'Teenage daughter loves', 'Perfection, as always', 'She like them but oops...', 'Very Cute', 'Best shoes ever', 'Great Shoes', 'Fit her well', 'She loved them!!!', 'great shoes!', 'Super color for old favorites', 'A Fun pair of shoes that express yourself', 'Use as Squatting Shoes', 'Looks great but uncomfortable', 'I Love These Shoes', 'great pair of sneakers', 'Classic', 'Purple Cactu basketball shoes', 'great shoes', 'Great', 'Converce 4 ever!!!', 'Have worn all my life', 'Run big', 'Never online.', 'Brings me back....', 'Love them', 'Love it', 'Nothing beats original Converse', 'Los calzados recibidos no corresponden con la seleccion hecha.', ""Hey, it's Converse, what more needs to be said???"", 'just what i expected', 'A gift for my girlfriend', 'Product is fine, but size was misleading', 'inferior quality', 'a feminine converse?', 'LOVE', 'Five Stars', 'I love these shoes!', 'love them', 'The color', 'good shoes', 'chuck taylors are sexy on a woman', 'Classics all the way', 'Awesome', 'Save the trip to the mall', 'like they should be', 'LOVE THEM!! :)', 'Love it!', 'Go at least 1 sz up, nice', 'Exceptional, bright and colorful and perfect fit', 'Classic converse', 'Love these shoes!!!', 'Never fails', 'Worth the price.', 'Yep!', 'a note about sizing', 'A+++++++++', 'Converse Chuck Taylor All Star Sneaker', 'My hubby loves!', ""Payin' for the Name?"", 'As Advertised!', 'Comfortable but wheres the arch support!', 'Exactly what I expected', 'My granddaughter loved them.', 'Good Buy', 'Not for old guys with thick feet from shoe strings to soles. Good for others.', 'chucks!', 'Nice shoe but choose your size wisely', 'Love these', 'LOVE them', 'Great Cons, just what I wanted', 'Good everyday shoes', 'Good product', 'Weird sizing on the tag...', 'Great color!', 'Classic Pink', 'If the shoe fits, is that good enough?', 'Great Color, runs a little Big', 'True to size', 'Perfect as always', 'Great Shoes!', 'Too big']"
B0000868O9,"[""Bali Women's Flower Underwire Bra, Light Beige, 42C"", 'Great bra!', 'Wonderbra!', 'bali bra', 'Good bra', 'Not a good fir for me', 'On the small side.', 'More Youthful Look and Feel', 'Best Exercise Bra For DD+', 'Divine!', 'Horrible!', 'unappreciated great bra', ""Doesn't shape properly"", 'Not for me...', 'Not a perfect fit but...', 'Simple comfort', ""I'm 32B but this is too small plus it's ultra pointy. Not just properly supportive but poke your eyes out pointy"", 'Nice to get a good support.', 'Some what disappointed.', 'The best ever!', 'At Last!', 'This has been my favorite for many years', 'I think I must have been sent the wrong bra-', ""Exactly What I've Been Looking For"", 'Good everyday bra', 'Love it', 'My Favorite', 'Another winner from Bali', 'To know Bali is to love it', 'Great Bra', 'AWESOME', 'Scratchy', 'Confused', 'Comfortable, holds things tight', 'It fits and is pretty!', 'Very vintage.', 'Bali Flower', 'daily use', 'Great support', 'Torpedos Are For Submarines', 'Fits Great But Underwire Starts To Poke Through', 'Great fit', 'Bali Bras definitely have flower power for me', 'Great bra, great price', 'A Retro Lift Into The Bosomy Past', 'The best bra ever!!!', 'Neither Comfortable Nor Attractive', 'better than a sports bra', 'LOVE IT!', 'A bit stiff, but definitely keeps the girls in place', 'For an architectural bra this is a Frank Lloyd Wright type construction. Ha!', ""Bali Women's Flower Underwire Bra, 34C"", 'Great fit', 'Old favorite', 'Wonderful!', 'comfortable bra', 'Pointy boobs, slightly larger than it should be', 'Itchy!', 'Not good enough']"
B000086910,"[""Bali Women's Satin Tracings Minimizer Underwire Bra, Black"", 'Bra', ""Good, but not 'seamless'-"", 'IT WORKS', 'good fit', 'Five Stars', 'Minimizing Effects', 'Decent cheap bra...not the worst, not the best... just ok', 'great bra', 'Love', 'Great Bra', 'Good price for a good bra', 'The Perfect Fit', 'Returned this item', 'Support Support', 'Love it', 'Great bra', 'Fabulous Bra!', 'Nicely made but a teense tight', 'Comfortable and does the job', ""I liked the straps but that's all"", 'nice to have a minimizer', 'size up', 'Bali Minimizer Bra', 'Very Nice Bra for Large Breasts', 'a little tight', 'Five Stars', 'yes!', 'Five Stars', 'Best Bra Ever!', 'it does it job but very unpretty', 'this is good', 'Over the minimizer look', ""Bali Women's Satin Tracings Minimizer Bra"", 'Pointy!!!!', 'Great deal on Bali bras!', 'COMFORTABLE!', 'My favorite bra', 'The Best!', 'GREAT Support!!!!', 'HOLDS AND SHAPES', 'bra', 'not for me', 'Great Support, but not very comfy.', 'pointy cups', 'Bra does not really minimize', 'great minimizer', 'EXCELLENT ITEM', 'This is my favorite', 'I like this bra', 'great support and fit', 'Great Fit', 'Love this Bra', 'I got 42DD not triple D', 'Love it', 'Love Love Love', 'I look good!', 'well....', 'Comfortable', 'Works Wonders', 'Fits great and great price!', 'Attractive and pretty fit.', 'BEST BRA EVER.', 'COMFORTABLE!!', 'Quality materials, weirdo fit', 'the best', 'good bra maker', 'Bali Brainitely purchase again.', ""Bali bras are the best.......especially if you're full figured. Wonderful price."", 'Worst Bra I Have Ever Owned', 'Best Exercise Bra For DD+', 'Very few bras fit me but this one is a keeper.', 'pretty but', 'fit great', 'Bigger Cups to fill']"
B00008ECKG,"['Straps are Too Long - Cups are Generous', 'Fit is a little odd', 'Get what  you pay for', 'Runs a bit small in band', 'I super love this bra', 'The straps', 'very sexy but minimal comfort.', 'Band a bit snug', 'Pretty, but not structured well', 'Fabulous Support & Super Sexy', 'Nice!', 'Great Fabric and Stylish', 'Love Felina - as always', 'Provides no support', 'great fit', 'Fit perfectly and are very comfy', 'Wow', 'Beautiful Bra!', 'LOVE IT !!!!!!!!!!', 'Fits good!', 'Under garment', 'HOLDING BABY is a LITTLE SHADY.', 'Very nice, flattering bra.', 'Very comfortable and true to size', 'Very Pretty!', 'Eh..', 'Planning on ordering more', 'great', 'Great', 'Cute but...eh', 'pretty sexy if you ask me...', 'It makes me feel so girly!!!', 'returned for correct size but these are AWFUL', 'Surprisingly comfy for something so sexy!', 'Love it', 'Love it!', 'bras', 'Perfect.', 'Pretty lace.', 'Very Cute but rough feeling', 'I love Felina', 'Not a great fit...', 'Perfect fit good quality', 'Lovely bra', 'Adjustable as well as Comfortable', 'Beautifully made; cups run slightly large', 'The bra was pretty, but....', 'Just Lovely', ""I'm very happy with this."", 'This is a beautiful bra!', 'Comfortable and affordable', 'Not quite', 'Beautiful bra but...', ""she don't seem to like it"", 'excellent', 'finally something sexy for busty girls', 'Pretty, but.....', 'Nice Bra Looks great', 'Way small.', 'Nice lace bra']"
B00009ZM7Z,"['jungle mocs', ""Kills the arches on your feet - I don't recommend"", 'Comfy shoes', 'Squeaks', 'fine comfy shoes', 'Merrell lover', 'Very Comfortable Shoe to wear all day!', 'Merrell Jungle Moc', 'Extraordinary Comfort', 'Runs large', 'Very nice shoes', 'Very comfortable.  Not so sure about the overall look though.', 'good buy', 'best price', 'OK but could use a better tread', ""5th pair I've purchased."", 'wrong shoe received twice.', 'Great on Dry, Beware on Wet', 'Built to last', 'My last pair lasted three years and over 2,000 miles.  The replacement pair fits perfectly (as expected)', 'Great slip-on shoe', 'Great shoes', 'Been wearing Merrell Mocs for years. So comfortable.', 'A Solid, Well Made Slip-on ...', 'Another great Merrell, but watch sizing.', ""Merrell's WERE great"", 'Comfortable, light weight, easy on and off', 'Gift for my dad', 'Great Merrell Shoes', 'very comfortable', 'love them', ""Nice and we'll build"", 'Very Comfortable', 'SHOE', 'Good, Muy Bueno', 'Sizing off', 'Should work out good', 'Not same sizing as before', 'Truly C-O-M-F-O-R-T-A-B-L-E', 'Great shoes!', 'Comfort and looks good', 'My feet love these', 'Great comfy shoes', 'Amazing Shoes for 12 Hour shifts', 'Higganum, CT', 'Great fit... easy for the lazy man', 'Merrell Mens Jungle Moc', ""Merrell Men's Jungle Slip-On Midnight Leather 7.5 W US"", 'COMFORTABLE but WRONG COLOR!!!', 'COMFORTABLE', 'Foot comfort', 'comfortable shoe', 'Extra comfortable', 'Husbands 5th pair', 'Awesome shoe', ""Look nice, probably wear well and keep out the water, but I'll never know."", 'A reorder I like them so well', ""A classic that's hard to beat..."", 'Great casual shoe', 'As always Merrell shoes are awesome.', 'FABULOUS', 'Versatile and comfortable shoes', 'Great shoe, good fit, like the way they look.', 'Shoes', 'Best Shoes Ever', 'Worn these for years', 'Just did not like them...', ""Gotta love Merrell's"", 'Most comfy shoes my husband has ever worn!', ""Slip on Moc's"", 'Comfortable shoe!', 'Good shoes!', 'Wish the toe box was wider', 'Great shoes', 'Great shoe', 'merrell jungle moc']"
B0000ANHST,"['Great fit, long lasting, durable', 'pretty good', 'Very satisfied with this purchase.', 'A classic that is still high quality--beware of sizing.', 'Nice, Heavy Material', 'amazon', 'very nice shirt', 'what happened to Carhartt?', 'Most excellent.', 'Small size runs long', 'Own over 20 of these.....all same size....all fit differently.', 'Five Stars', 'Carhartt Pocket T-Shirt', 'carthartt good', ""It's Carhartt"", 'Just a Good Shirt', 'Great', ""Don't Waste Your Money"", 'excellent', 'Heavy Duty T-Shirt', 'Love these shirts! They were heavier then I thought but still comfy.', 'a good t shirt', 'Good shirts', 'Love these shirts', 'they feel wonderful', 'Great Shirt..', 'Nice shirt, thick material, comfortable', 'best of the best', 'Perfect!', 'Lower quality than expected. There are better options.', 'Well made', 'Black Pocket Tee', ""Some of the nicest T's for the money. Period."", 'Good Fitting Heavy Shirt', 'These guys make real tee shirts', 'Nice thick material, but a little oversized', 'Heavy TShirt', 'Good quality', 'GREAT T-SHIRT BUT GET SMALLER SIZE!!!!', 'always a good work shirt', 'sizing', 'Carhartt T-Shirts', 'gvreta shirts', 'Pocket shirts', 'Great shirt', 'Shirt is nice', 'Four Stars', 'Good Work Shirt', 'Good quality shirt...some sizing issues.', 'Thick fabric', 'Good Quality', 'NICE HEAVIER WEIGHT SHIRT', 'Durable pocket tee', 'Oversized but good material', 'Love The Tee!', 'Really long shirt', ""Carhartt Men's Workwear Pocket T"", 'Love these t-shirts!!!', 'Great quality and Fit.', 'Carhartt nice stuff', ""Carhartt Men's Pocket T-Shirt"", 'Great Tee Shirt for the money', 'Practical T-shirt.', 'great brand', 'carhart makes top quality clothing', 'Well made T', 'Big, dumb, T-shirt', ""The best pocket t's period but not cheap"", 'love carhartt', 'Best T shirt for the money', 'Tough shirt', 'Solid shirt', 'Nice', 'great shirt fits perfect', 'Did I get a bad batch? Cotton was coarse and scratchy, even after multiple washings', 'Perfect', 'All Good', 'My husband loves these!', 'Good shirt', 'Great Quality/Runs Big', 'Roomy fit and excellent value', 'Nice, heavy duty T-shirt', ""It's a carhartt what more can you say"", 'lifelong favorites for quality clothing at a reasonable price', 'heavy weight t-shirts', 'moments of t-shirt awkwardness', 'runs long', 'One size too big!', 'A must for My Husband!', 'High quality, loose fit, and I love the pocket', 'Great', 'Love Carhartts shirts', 'Good Looking T-Shirt', 'Great shirts!', 'thick t-shirt', 'Nice Thick Shirt', 'runs HUGE', 'Great!', 'tee shirt', 'classic quality t shirt', 'LOVED THE SHIRTS', 'Like the shirt, just a little big.', 'Carhartt for Working Men!', 'Forever', 'Tough shirts for tough guys', 'OK Shirt', 'Well made, good fit', 'Heavy t shirt', 'XL Runs Large (and Long), But Very Comfortable. Large is Perfect Fit.', 'Great t-shirt for men', 'Great shirt', 'Nicest cool weather T shirt I have found', 'oversized', 'Best T-shirts EVER!', 'Good quality', 'still too big after sizing down, oh well', 'Not The Same']"
B0000AT7N2,"['Great fit!', 'son in laws jeans', 'Perfect Fit at a Reasonable Price', 'Good jeans for your guy', 'B17', 'Jeans', ""Can't get better"", 'Made well, sizing is a bit off compared to my other brands', 'Wonderful!', 'Awesome Fit & Comfortable', ""Carhartt Men's Relaxed Fit Jean B17, Stonewash - a great deal and good fit."", 'American man jeans.', 'Carhartt forever', 'Great Jeans', ""Can't beat Carhartt"", 'well made', ""Carhartt Men's Relaxed Fit Jean"", ""I'd buy again... lighter weight, should be great for summer weather."", ""Levi's? CARHARTT Better!"", 'Carhartt B17 Jeans', 'Thank you for having odd size!', 'jeans', 'Comfy and Stylish', 'Bought these for my son. He Loves them.', 'Perfect, better than wrangler.', 'MY NEW BEST FRIEND', 'Jeans', 'Fits/Looks Great', 'stay relaxed', 'great fit', 'Jeans', 'Good Purchase', 'fast selivery and nice look', 'The jeans fit well and look good', 'Carhartt Jeans', 'Comfortable fit.', 'Hubby loves these', 'Good jeans', 'Good Quality a bit tight', 'Tired of indigo ?', 'Good looking jeans', 'Buy American', ""Closest to old school Levi 550's"", 'Jeans', 'Nice jeans', 'Nice jeans!', 'Great Jeans', 'As Blue a Blue as you can get', 'Not bad for the price paid.', 'My favorite jeans', 'Excellent jeans of high quality.', 'carhartt jeans', 'Great winter jeans', 'Superior to that other brand....', 'Great color and fit, as well as good quality denim and stitching', ""Good lookin', great fittin'"", 'Great Jeans', 'Great pair of jeans! A bit small on the pockets though', ""Jeans that won't disappoint."", 'Great Jeans!', 'Fit great - back pockets are wider apart than before?', 'Great pants!', 'Best pants a man can have', 'Way too small', 'Excellent quality jeans', 'carpenter jeans', 'UPDATED: Already tearing in the pocket corners one month later.', 'Best Work Jeans Ever']"
B0000ATP8L,"['Great fit and wear a long time.', 'Love this shoe', 'Taming of the shrew (shoe).', 'Two Stars', 'Great fit, very comfortable... OK looking', 'Very comfortable shoe', 'Comfort Casual', 'Hubby likes!', ""Rockport Men's World Tour Classic Walking Shoe"", 'Perfect Walking Shoes', 'Great shoe at a Great Price', 'This was Rockports Last Chance With Me', 'GREAT SHOE', 'Good casual walking shoe', 'Purchased the Rockport World Tour Classic Walking Shoe to replace my very worn out Rockports', 'solid comfort', '0.5 larger than expected, still fine', 'Nice Looking Shoe', 'Husband loves them!', 'Great work shoe', 'A truly GREAT LOOKING shoe...', 'Excellent Shoe', 'Not what they used to be', 'As described, pic was exact.', 'Nice looking pair of shoes', 'decent walking shoes, but not as good as in past', 'Not the same Rockport from a few years ago', '&#8730;  20 YEARS and Still Going Strong!', 'You can not beat Rockport for Comfort!', 'a little on the narrow side', 'rockport comfort', 'Nice shoes', 'My second pair. Gotta love them.', ""Best Shoes I've ever worn!"", 'My husband loves the Rockport brand', 'Always a Rockport Fan', 'Husband loves them', 'almost perfect', ""It's a basic shoe."", 'Great  Quality !!', 'Rockport Shoe', ""My Husband's Favorite."", 'Just so Rockport so Good', 'I Love My Rockport Walkers', 'IT just fits', 'Disappointed', 'very nice', 'Great walking shoe that looks good too', 'Solid shoes', 'an inferior sole which must be replaced by the buyer', ""Feel not worth the price. It's too expensive.""]"
